model,train_accuracy,eval_accuracy,num_epochs
shadow_1,64.52,51.9,5
shadow_2,67.46,54.52,5
shadow_3,70.38,56.62,5
shadow_4,67.22,54.8,5
shadow_5,68.34,53.48,5
shadow_1,90.94,57.16,10
shadow_2,87.32,57.04,10
shadow_3,81.28,56.92,10
shadow_4,88.22,58.98,10
shadow_5,89.62,57.58,10
shadow_1,97.76,57.32,15
shadow_2,97.24,58.62,15
shadow_3,98.18,59.66,15
shadow_4,96.0,56.48,15
shadow_5,97.04,57.44,15
shadow_1,99.82,57.9,25
shadow_2,99.88,58.38,25
shadow_3,99.82,58.42,25
shadow_4,99.8,58.98,25
shadow_5,99.94,57.08,25
shadow_1,99.94,57.22,50
shadow_2,99.96,57.4,50
shadow_3,99.98,58.3,50
shadow_4,99.98,58.96,50
shadow_5,100.0,58.16,50
